,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,total_minutes,total_calls,total_charge
984,77,415,no,no,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,655.0,306,61.74000000000001
2721,50,415,no,no,0,295.3,127,50.2,127.4,100,10.83,166.8,105,7.51,9.6,6,2.59,1,599.1,338,71.13000000000002
589,117,408,no,yes,14,80.2,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,2,2.32,1,430.4,288,40.09
2118,37,510,yes,no,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0,592.0999999999998,306,57.79
2132,202,510,no,no,0,115.4,137,19.62,178.7,70,15.19,185.7,113,8.36,6.0,3,1.62,3,485.8,323,44.79
3329,68,415,no,no,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,585.4,239,63.53
1902,85,415,no,no,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,638.9000000000002,231,65.38
1746,60,408,no,no,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1,649.9000000000002,340,63.06
677,84,408,no,no,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,580.8,291,64.83
367,45,415,no,no,0,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,604.6,338,51.17
85,128,510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,736.8000000000002,275,66.53999999999999
172,25,415,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,10.5,4,2.84,3,610.2,278,53.2
343,98,408,no,yes,21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0.0,0,0.0,2,485.5,268,36.97
2100,112,408,no,yes,30,60.6,113,10.3,165.9,96,14.1,132.8,99,5.98,13.3,7,3.59,0,372.6,315,33.97
1234,86,408,no,no,0,126.3,115,21.47,168.8,112,14.35,154.6,95,6.96,9.8,7,2.65,2,459.50000000000006,329,45.43
922,80,415,no,no,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,755.8,283,71.78000000000002
1421,37,415,no,yes,20,264.7,81,45.0,216.5,110,18.4,210.7,102,9.48,10.4,7,2.81,0,702.3,300,75.69
216,93,415,no,no,0,151.4,89,25.74,186.4,76,15.84,172.5,120,7.76,10.9,3,2.94,0,521.2,288,52.28
2993,161,408,no,no,0,196.6,73,33.42,170.2,79,14.47,194.3,79,8.74,12.5,3,3.38,1,573.5999999999998,234,60.01000000000001
3047,88,415,no,no,0,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2,468.60000000000014,283,53.31
2219,94,415,no,yes,28,92.7,107,15.76,127.8,86,10.86,225.6,86,10.15,9.9,4,2.67,3,456.0,283,39.44
1475,70,415,no,no,0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3,372.1,333,36.67999999999999
890,124,415,no,no,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0,603.4,299,61.5
640,88,415,no,no,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,549.1,299,53.62000000000001
2794,137,408,yes,no,0,258.0,112,43.86,246.5,117,20.95,173.2,100,7.79,10.9,3,2.94,0,688.6,332,75.54
2049,116,415,no,yes,27,204.7,118,34.8,209.4,91,17.8,212.9,67,9.58,7.0,2,1.89,2,634.0,278,64.07
118,112,510,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,458.8,320,43.41
1464,69,415,no,no,0,183.4,85,31.18,237.6,100,20.2,228.0,94,10.26,9.0,5,2.43,3,658.0,284,64.07
3108,98,408,no,yes,30,110.3,71,18.75,182.4,108,15.5,183.8,88,8.27,11.0,8,2.97,2,487.5,275,45.49
3309,100,408,yes,no,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,12.0,4,3.24,4,712.4000000000002,313,71.21
1732,97,415,no,yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,611.9999999999999,325,54.96
825,74,415,no,no,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,577.6,315,58.58000000000001
1862,133,408,yes,no,0,254.7,103,43.3,252.2,80,21.44,178.1,103,8.01,8.0,3,2.16,0,693.0,289,74.91
1321,51,408,no,no,0,197.8,60,33.63,221.0,64,18.79,168.6,134,7.59,8.9,5,2.4,1,596.3,263,62.41
269,118,408,yes,no,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2,530.1,321,53.1
1301,137,415,no,no,0,115.0,130,19.55,137.8,83,11.71,224.0,61,10.08,7.3,4,1.97,3,484.1,278,43.31
1820,56,510,no,no,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1,539.6999999999998,296,48.1
1180,72,415,no,no,0,207.8,92,35.33,195.7,110,16.63,184.8,124,8.32,13.1,4,3.54,0,601.4,330,63.81999999999999
1394,105,510,no,no,0,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13.0,4,3.51,1,652.2,296,71.44
2724,182,415,no,no,0,279.1,124,47.45,180.5,108,15.34,217.5,104,9.79,9.5,11,2.57,2,686.6,347,75.15
1055,161,415,no,no,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,470.7000000000001,275,51.22
2822,155,408,yes,no,0,163.1,94,27.73,291.7,108,24.79,96.4,111,4.34,11.2,3,3.02,0,562.4,316,59.88
1555,122,510,no,yes,22,204.5,92,34.77,139.6,121,11.87,205.0,103,9.23,8.6,5,2.32,2,557.7,321,58.19000000000001
3187,58,408,no,yes,39,211.9,40,36.02,274.4,76,23.32,210.5,139,9.47,5.4,4,1.46,1,702.1999999999998,259,70.27
2057,9,415,no,yes,16,88.5,87,15.05,178.8,108,15.2,228.7,96,10.29,11.5,3,3.11,2,507.5,294,43.65
1171,32,408,no,no,0,157.9,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1,484.00000000000006,325,51.63
1606,95,415,no,no,0,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,770.0000000000001,359,71.16000000000003
725,57,510,no,no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,593.1,314,56.04
1010,105,510,no,no,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0,675.4,339,72.31
996,179,510,no,no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,511.4,308,48.21
960,5,415,no,no,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,613.8,206,63.0
2859,87,415,no,no,0,58.0,125,9.86,67.5,116,5.74,185.9,136,8.37,11.5,3,3.11,0,322.9,380,27.08
2087,105,408,no,no,0,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,11.1,8,3.0,4,600.6,316,58.31
3219,150,415,no,yes,35,139.6,72,23.73,332.8,170,28.29,213.8,105,9.62,8.8,2,2.38,2,695.0,349,64.02
1376,65,415,no,no,0,245.7,139,41.77,241.9,113,20.56,285.3,117,12.84,4.2,5,1.13,4,777.1000000000001,374,76.3
3165,91,408,no,yes,44,216.6,101,36.82,173.1,98,14.71,242.1,95,10.89,9.1,3,2.46,1,640.9,297,64.88
3147,62,415,no,no,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,8.5,4,2.3,4,605.1,327,64.73
2735,90,415,yes,yes,26,169.0,104,28.73,188.8,104,16.05,213.3,76,9.6,13.3,3,3.59,0,584.4,287,57.97
3129,115,510,no,yes,16,133.3,110,22.66,185.7,111,15.78,161.5,113,7.27,5.6,4,1.51,2,486.1,338,47.21999999999999
2461,78,408,no,no,0,220.0,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0,599.5999999999998,330,64.27
1382,125,415,no,yes,39,236.1,107,40.14,289.2,110,24.58,175.4,107,7.89,9.1,4,2.46,2,709.8,328,75.07
2927,125,408,no,yes,23,120.5,104,20.49,227.8,115,19.36,158.5,100,7.13,10.2,3,2.75,1,517.0,322,49.73
2949,155,408,yes,no,0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,10.0,5,2.7,2,561.4,360,64.96000000000001
3238,121,510,no,no,0,255.1,93,43.37,266.9,97,22.69,197.7,118,8.9,8.8,3,2.38,3,728.5,311,77.34
274,92,408,no,yes,28,151.1,90,25.69,194.8,79,16.56,239.2,114,10.76,10.0,3,2.7,1,595.0999999999998,286,55.71
112,98,408,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,591.6999999999998,347,57.12000000000001
2824,81,415,no,no,0,324.7,48,55.2,236.4,82,20.09,187.6,78,8.44,13.1,5,3.54,0,761.8000000000002,213,87.27000000000002
475,74,510,no,no,0,148.5,111,25.25,146.5,42,12.45,289.2,83,13.01,9.9,6,2.67,3,594.1,242,53.38
501,124,415,no,yes,28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,735.9,319,75.24000000000002
3330,28,510,no,no,0,180.8,109,30.74,288.8,58,24.55,191.9,91,8.64,14.1,6,3.81,2,675.6,264,67.74
374,90,415,no,no,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2,676.0,240,63.31
2435,112,415,no,yes,23,286.6,79,48.72,315.3,102,26.8,193.9,101,8.73,10.3,6,2.78,1,806.1,288,87.03
553,61,510,yes,no,0,78.2,103,13.29,195.9,149,16.65,108.0,100,4.86,10.1,6,2.73,2,392.2000000000001,358,37.53
512,62,408,no,no,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,627.5000000000001,296,60.09
332,86,415,no,no,0,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,476.0,371,48.08000000000001
3016,148,510,no,no,0,203.0,92,34.51,150.9,125,12.83,245.5,131,11.05,14.6,9,3.94,1,614.0,357,62.33
1378,58,415,yes,yes,43,142.8,96,24.28,272.3,100,23.15,193.4,105,8.7,8.9,4,2.4,1,617.4,305,58.53
805,83,408,no,no,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,512.3,284,57.94
2935,136,510,no,no,0,204.5,63,34.77,208.8,95,17.75,224.0,119,10.08,9.8,2,2.65,0,647.0999999999998,279,65.25
599,75,510,no,yes,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,671.0,305,67.07000000000001
1420,81,415,yes,no,0,149.4,68,25.4,171.9,98,14.61,214.5,97,9.65,17.9,3,4.83,3,553.6999999999998,266,54.49
502,93,415,yes,no,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,663.5,296,69.21000000000001
405,92,415,yes,no,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,9.3,5,2.51,0,633.1,284,70.06
780,107,510,yes,no,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11.0,9,2.97,2,622.1,248,72.00999999999998
2580,155,510,no,no,0,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0,567.5,316,48.54
2892,103,415,no,yes,34,138.8,80,23.6,142.0,108,12.07,183.8,77,8.27,11.8,7,3.19,1,476.4,272,47.13
2186,41,415,no,no,0,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3,796.6,283,80.39
109,157,408,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,628.7,326,65.09
1578,106,415,no,no,0,147.9,97,25.14,209.3,99,17.79,162.1,80,7.29,8.8,5,2.38,2,528.1,281,52.6
753,90,415,no,no,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,417.9,322,40.49
2655,64,510,no,no,0,219.2,73,37.26,167.0,65,14.2,161.4,119,7.26,10.0,5,2.7,1,557.6,262,61.42
2900,78,408,no,no,0,108.6,108,18.46,209.9,126,17.84,222.6,117,10.02,7.9,5,2.13,1,549.0,356,48.45
356,124,408,yes,no,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,11.3,4,3.05,1,650.6999999999998,287,69.94999999999999
1493,126,415,no,yes,30,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,4,471.4,288,49.33
1781,201,415,no,yes,21,192.0,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,562.3000000000002,306,62.26
404,73,415,no,no,0,183.4,80,31.18,242.0,115,20.57,201.4,100,9.06,7.5,3,2.03,4,634.3,298,62.84
1190,149,415,no,no,0,156.0,56,26.52,56.0,116,4.76,163.3,104,7.35,8.9,8,2.4,0,384.2,284,41.03
133,82,408,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,614.7,259,62.34
1013,104,415,no,no,0,156.2,93,26.55,193.0,54,16.41,222.7,94,10.02,13.1,5,3.54,1,585.0,246,56.52
2581,123,415,no,no,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4,496.4,321,48.23
1345,98,415,no,no,0,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4,333.5,219,22.93
67,113,408,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,469.2000000000001,359,46.88
292,94,510,no,no,0,177.1,112,30.11,194.0,112,16.49,146.7,108,6.6,5.9,4,1.59,1,523.6999999999998,336,54.79
1157,116,408,no,no,0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,543.4,343,51.58
1669,17,408,no,yes,35,198.5,123,33.75,270.6,74,23.0,209.9,130,9.45,8.1,10,2.19,1,687.1,337,68.39
3277,134,415,no,no,0,164.9,115,28.03,126.5,96,10.75,238.5,125,10.73,10.0,9,2.7,2,539.9,345,52.21000000000001
685,63,415,no,yes,32,30.9,113,5.25,187.0,113,15.9,230.8,101,10.39,8.6,7,2.32,1,457.30000000000007,334,33.86
1803,101,510,no,no,0,174.9,105,29.73,262.0,75,22.27,210.0,93,9.45,8.5,5,2.3,1,655.4,278,63.75
835,27,510,no,no,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,357.0,266,35.72
3234,75,510,no,yes,28,200.6,96,34.1,164.1,111,13.95,169.6,153,7.63,2.5,5,0.68,1,536.8,365,56.36
2333,16,510,no,no,0,144.8,84,24.62,164.9,141,14.02,231.5,75,10.42,8.2,4,2.21,2,549.4000000000002,304,51.27
1235,163,510,no,no,0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,557.6999999999998,221,58.43999999999999
707,84,510,no,yes,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,657.2,294,60.89
2275,105,415,yes,no,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,0,626.5,355,64.28
947,150,415,no,yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,556.9,289,56.13
3062,114,415,no,yes,31,222.8,98,37.88,180.5,105,15.34,151.3,101,6.81,13.0,4,3.51,0,567.6,308,63.54
755,69,415,no,no,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,522.2,275,56.69
1622,117,415,no,no,0,184.8,83,31.42,248.6,101,21.13,133.1,113,5.99,9.6,8,2.59,1,576.1,305,61.13
2143,79,415,no,no,0,156.9,109,26.67,122.2,87,10.39,189.1,103,8.51,11.3,5,3.05,3,479.50000000000006,304,48.62
1131,100,408,no,yes,25,246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13.0,5,3.51,1,590.8,320,65.99
3235,97,408,no,yes,25,141.0,101,23.97,212.0,85,18.02,175.2,138,7.88,4.9,2,1.32,3,533.1,326,51.19
218,136,415,no,no,0,250.2,121,42.53,267.1,118,22.7,151.0,114,6.8,13.0,2,3.51,1,681.3,355,75.54
2054,90,408,no,no,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,481.2000000000001,327,49.33
877,129,415,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,589.1999999999998,313,69.44
156,83,415,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,734.4999999999999,357,87.89
2564,16,510,no,no,0,153.2,65,26.04,229.7,90,19.52,148.2,94,6.67,10.7,8,2.89,1,541.8,257,55.12000000000001
237,110,408,no,no,0,74.5,117,12.67,200.8,98,17.07,192.2,101,8.65,9.8,7,2.65,3,477.3,323,41.04
2099,71,510,no,no,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,817.6999999999998,331,85.52999999999999
1590,75,415,no,yes,39,198.2,107,33.69,280.4,132,23.83,129.6,73,5.83,11.3,7,3.05,1,619.4999999999999,319,66.39999999999999
2331,46,415,no,yes,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1,707.9000000000002,332,71.86999999999998
901,23,510,no,no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,725.6,383,85.46
2440,118,510,no,no,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7.0,6,1.89,0,573.1,373,60.40000000000001
1164,66,408,no,yes,32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12.0,3,3.24,2,461.9,323,52.15000000000001
1617,104,415,yes,no,0,148.2,108,25.19,161.8,113,13.75,259.3,103,11.67,11.0,4,2.97,0,580.3,328,53.58
566,75,510,no,yes,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,652.8999999999999,309,57.97
3283,99,510,no,no,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,12.4,4,3.35,3,695.6999999999998,347,73.75999999999998
1267,86,415,no,no,0,166.2,112,28.25,255.3,81,21.7,228.1,97,10.26,5.4,7,1.46,1,655.0,297,61.67
1054,50,408,no,no,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,453.5,327,47.66
24,132,510,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,573.5999999999998,275,48.08
959,58,408,no,no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,487.7000000000001,310,50.13
2473,66,408,no,yes,40,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3,0,659.8,251,60.06
1076,53,415,no,yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,467.0,286,33.97
3139,13,415,no,no,0,143.1,139,24.33,239.6,88,20.37,221.7,123,9.98,7.1,5,1.92,2,611.5,355,56.60000000000001
3226,100,510,no,no,0,264.5,117,44.97,194.0,111,16.49,262.7,111,11.82,7.5,4,2.03,2,728.7,343,75.31
1918,177,408,no,no,0,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,605.9000000000002,330,61.21
3222,61,415,yes,yes,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,11.7,6,3.16,3,562.5,322,50.83
120,46,408,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,650.7,292,67.59
2414,16,415,yes,no,0,110.0,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,7,1.73,0,454.2,246,41.52
125,85,408,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,695.3,265,68.33999999999999
1718,109,415,yes,no,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2,726.6,308,74.46000000000002
951,101,415,no,no,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,595.7,257,58.0
1752,181,415,yes,no,0,161.3,83,27.42,124.4,83,10.57,262.0,98,11.79,14.1,3,3.81,0,561.8000000000002,267,53.59
2494,148,415,no,yes,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,561.0,344,65.91
1110,117,415,no,no,0,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2,663.9999999999999,303,59.97
3224,115,415,no,no,0,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,728.9,247,74.94
573,64,408,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9.0,1,2.43,3,653.2,322,69.93
2125,127,415,no,yes,27,140.1,59,23.82,223.4,111,18.99,257.9,73,11.61,3.8,10,1.03,1,625.1999999999998,253,55.45
74,85,415,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,593.2,305,65.16
1609,57,415,no,no,0,169.6,96,28.83,234.7,112,19.95,285.4,83,12.84,11.2,4,3.02,0,700.9,295,64.64
2316,135,415,yes,no,0,186.0,107,31.62,66.0,94,5.61,213.1,105,9.59,12.9,4,3.48,1,478.0,310,50.3
2503,168,415,no,no,0,183.2,131,31.14,179.2,73,15.23,292.8,100,13.18,9.9,5,2.67,2,665.1,309,62.22000000000001
1833,70,408,no,no,0,208.7,97,35.48,275.5,83,23.42,182.5,122,8.21,8.0,3,2.16,2,674.7,305,69.27
1685,69,415,no,no,0,143.6,88,24.41,141.8,86,12.05,194.0,83,8.73,10.8,5,2.92,3,490.2,262,48.11
2914,65,415,no,yes,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,12.5,4,3.38,4,578.0,316,60.62
1098,98,510,no,no,0,187.2,127,31.82,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1,569.6999999999998,348,58.01000000000001
1148,122,415,no,no,0,173.6,110,29.51,91.7,84,7.79,211.7,103,9.53,9.7,7,2.62,3,486.7,304,49.45
3135,120,510,no,no,0,192.6,123,32.74,206.4,105,17.54,283.2,93,12.74,10.8,3,2.92,1,693.0,324,65.94
966,48,510,no,yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,689.7,308,63.92000000000001
127,61,510,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,566.1999999999998,362,56.23
3097,112,415,no,no,0,185.4,114,31.52,191.4,119,16.27,144.0,78,6.48,10.0,11,2.7,2,530.8,322,56.97
1097,57,415,no,yes,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,767.7,326,81.38
2601,85,408,no,yes,30,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,590.5,317,60.69
2288,34,415,no,no,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0,550.5999999999998,328,56.05
2894,37,408,no,no,0,134.9,98,22.93,248.4,130,21.11,236.2,113,10.63,14.7,2,3.97,3,634.2,343,58.64
1247,132,415,no,no,0,117.6,66,19.99,214.0,108,18.19,239.5,94,10.78,8.8,5,2.38,1,579.9,273,51.34
2658,101,415,no,no,0,257.3,84,43.74,184.8,115,15.71,108.9,109,4.9,13.5,7,3.65,0,564.5,315,68.00000000000001
519,41,408,no,no,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9.0,3,2.43,3,479.2000000000001,296,55.1
1022,154,510,no,no,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,518.4000000000002,290,52.0
1219,36,510,no,no,0,178.6,83,30.36,213.1,103,18.11,198.0,119,8.91,10.9,5,2.94,1,600.6,310,60.31999999999999
787,24,408,no,no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,668.0000000000001,299,74.11
609,111,415,no,no,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,579.6,257,56.77
3278,87,415,no,no,0,238.0,97,40.46,164.5,97,13.98,282.5,132,12.71,10.6,6,2.86,2,695.6,332,70.01
1398,98,408,no,yes,19,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11.0,4,2.97,1,592.9,272,52.08
157,139,510,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,677.5,339,63.15000000000001
2505,70,510,no,no,0,147.1,105,25.01,200.0,135,17.0,234.9,65,10.57,12.5,9,3.38,3,594.5,314,55.96000000000001
231,63,415,yes,yes,36,199.0,110,33.83,291.3,111,24.76,197.6,92,8.89,11.0,6,2.97,1,698.9,319,70.45
978,63,415,no,no,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,781.6,338,83.52000000000002
2229,83,415,no,yes,25,191.3,95,32.52,250.7,136,21.31,249.4,86,11.22,17.6,5,4.75,2,709.0,322,69.8
1150,132,415,no,no,0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5,495.30000000000007,323,54.19
2911,127,415,yes,no,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13.0,3,3.51,1,648.3,313,73.05
2825,99,510,no,no,0,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2,501.6,347,50.44
2356,105,415,no,no,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,838.4,332,84.85
3249,160,415,no,no,0,206.3,66,35.07,241.1,109,20.49,227.8,102,10.25,11.7,6,3.16,0,686.9000000000002,283,68.97
769,106,415,no,no,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11.0,3,2.97,1,593.1999999999998,305,62.56999999999999
2887,134,415,no,yes,50,208.8,130,35.5,132.9,104,11.3,136.7,107,6.15,11.1,4,3.0,2,489.50000000000006,345,55.95
816,83,510,no,no,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,659.1999999999998,298,69.17999999999999
2315,42,415,no,no,0,150.7,52,25.62,246.7,96,20.97,103.8,118,4.67,7.0,4,1.89,2,508.2,270,53.15000000000001
1859,116,510,no,no,0,164.6,110,27.98,270.6,103,23.0,230.4,109,10.37,8.0,3,2.16,0,673.6,325,63.51000000000001
440,135,510,no,yes,27,273.4,141,46.48,154.0,99,13.09,245.8,112,11.06,12.3,6,3.32,1,685.5,358,73.94999999999997
1144,155,408,no,no,0,216.7,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2,507.1,262,58.12000000000001
2175,180,415,no,no,0,143.5,121,24.4,189.3,111,16.09,174.9,82,7.87,8.8,5,2.38,3,516.5,319,50.74
510,193,408,no,yes,17,124.0,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,544.3,315,50.88
2702,152,510,no,yes,20,214.6,108,36.48,96.6,82,8.21,170.7,145,7.68,7.9,5,2.13,1,489.8,340,54.5
2248,152,408,no,yes,20,239.1,105,40.65,209.1,111,17.77,268.2,130,12.07,13.3,3,3.59,5,729.6999999999998,349,74.08000000000001
1642,99,408,no,no,0,54.8,92,9.32,173.0,103,14.71,195.1,125,8.78,7.5,3,2.03,1,430.4,323,34.84
144,117,408,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,608.1,312,58.53
